date,open
2015/7/8,265.98
2015/7/9,270.83
2015/7/10,269.16
2015/7/11,284.88
2015/7/12,293.14
2015/7/13,310.83
2015/7/14,292.03
2015/7/15,288.05
2015/7/16,286.04
2015/7/17,278.09
2015/7/18,279.33
2015/7/19,274.77
2015/7/20,273.5
2015/7/21,278.88
2015/7/22,275.66
2015/7/23,277.34
2015/7/24,276.01
2015/7/25,288.16
2015/7/26,288.64
2015/7/27,292.64
2015/7/28,293.63
2015/7/29,294.48
2015/7/30,289.1
2015/7/31,287.7
2015/8/1,284.69
2015/8/2,280.45
2015/8/3,282.81
2015/8/4,281.23
2015/8/5,284.85
2015/8/6,281.91
2015/8/7,278.74
2015/8/8,279.74
2015/8/9,261.12
2015/8/10,265.48
2015/8/11,264.34
2015/8/12,270.6
2015/8/13,266.18
2015/8/14,264.13
2015/8/15,265.53
2015/8/16,261.87
2015/8/17,258.49
2015/8/18,257.93
2015/8/19,225.67
2015/8/20,226.9
2015/8/21,235.35
2015/8/22,232.66
2015/8/23,230.38
2015/8/24,228.11
2015/8/25,210.07
2015/8/26,222.08
2015/8/27,226.05
2015/8/28,224.7
2015/8/29,231.55
2015/8/30,229.9
2015/8/31,229.11
2015/9/1,230.26
2015/9/2,228.03
2015/9/3,229.32
2015/9/4,227.21
2015/9/5,230.2
2015/9/6,234.87
2015/9/7,239.93
2015/9/8,239.85
2015/9/9,243.41
2015/9/10,238.34
2015/9/11,238.33
2015/9/12,239.85
2015/9/13,235.24
2015/9/14,230.61
2015/9/15,230.49
2015/9/16,230.25
2015/9/17,229.08
2015/9/18,233.52
2015/9/19,232.86
2015/9/20,231.4
2015/9/21,231.22
2015/9/22,226.97
2015/9/23,230.94
2015/9/24,230.36
2015/9/25,234.36
2015/9/26,235.08
2015/9/27,234.14
2015/9/28,232.84
2015/9/29,239.02
2015/9/30,236.64
2015/10/1,236
2015/10/2,237.26
2015/10/3,237.2
2015/10/4,238.53
2015/10/5,238.15
2015/10/6,240.36
2015/10/7,246.17
2015/10/8,243.07
2015/10/9,242.5
2015/10/10,243.74
2015/10/11,244.74
2015/10/12,246.88
